h/l,fc,rhov,rhoh,fyv,fyh,AL,BE,T2B,L2R,R2L,B2T,LC,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,DS
1,474.17,0.66,0.68,6659,4864,0.07,1,0.0034941,0.00083001,0.0034425,0.00077833,13.1443,1.6255,1.6144,1.6009,1.584,1.5623,1.5334,1.4934,1.4349,1.3447,1.2209,1.1676,1.1626,1.1497,1.1381,1.1288,1.121,1.1143,1.1083,1.1028,1.0977,1.0929,0
1,474.17,0.66,0.51,6659,6802,0.07,1,0.021733,0.017339,0.022776,0.018382,1.75122,2.5313,2.5109,2.486,2.4547,2.4144,2.3609,2.2874,2.1839,2.0432,1.8955,1.7984,1.7454,1.7123,1.6866,1.6641,1.643,1.6233,1.6052,1.5892,1.5751,1.5629,1
1,474.17,0.66,0.68,6659,4864,0.07,1,0.018827,0.016126,0.018374,0.015673,1.77542,2.5018,2.4835,2.4612,2.4333,2.3975,2.3501,2.2849,2.1915,2.0561,1.8901,1.7714,1.7123,1.6803,1.6575,1.6385,1.6213,1.6051,1.5899,1.576,1.5634,1.5521,1
1,717,0.66,0.51,6659,6802,0.07,1,0.058706,0.055272,0.055903,0.052469,3.01321,2.7658,2.7451,2.7199,2.6884,2.6481,2.5949,2.5216,2.416,2.2597,2.0619,1.884,1.6847,1.5075,1.4065,1.3505,1.3143,1.2885,1.2689,1.2535,1.2411,1.2309,2
1,470,0.36,0.25,6659,6802,0.07,1,0.038886,0.037135,0.042653,0.040902,4.3557,2.7469,2.7251,2.6987,2.6657,2.6237,2.5686,2.4936,2.3874,2.2314,2.0177,1.7993,1.5719,1.3953,1.3057,1.261,1.235,1.2177,1.2052,1.1955,1.1877,1.1812,2
1,240,0.168,0.277,5864,5864,0.07,1,0.12057,0.083263,0.052982,0.01568,12.7684,2.9474,2.9177,2.8815,2.8368,2.7805,2.7076,2.6106,2.4768,2.2876,2.049,1.7679,1.3825,1.2732,1.2477,1.2376,1.2322,1.2287,1.2261,1.2241,1.2226,1.2212,3
1.5,246,0.168,0.277,5864,5864,0.07,1,0.091509,0.050904,0.052007,0.011402,12.3481,2.5084,2.488,2.4632,2.4324,2.3935,2.3425,2.2735,2.1764,2.0403,1.8901,1.7342,1.4177,1.2434,1.1854,1.1591,1.1437,1.1333,1.1257,1.1199,1.1153,1.1115,3
1,474.17,0.66,0.51,6659,6802,0.07,1,0.06349,0.055581,0.051841,0.043932,2.63523,2.767,2.7465,2.7213,2.6899,2.6496,2.5959,2.5216,2.4136,2.2537,2.0582,1.8991,1.7227,1.5453,1.4321,1.3673,1.3256,1.2958,1.2732,1.2555,1.2413,1.2297,3
1,474.17,0.66,0.68,6659,4864,0.07,1,0.056776,0.050831,0.054775,0.04883,2.74255,2.7975,2.7768,2.7514,2.7198,2.6791,2.6251,2.5505,2.4428,2.2838,2.083,1.9049,1.7154,1.5403,1.4343,1.3745,1.3356,1.3073,1.2854,1.2679,1.2536,1.2417,3
1,474.17,0.54,0.51,6659,6802,0.07,1,0.048553,0.042003,0.05106,0.04451,3.5673,2.6802,2.6606,2.6366,2.6065,2.568,2.5172,2.448,2.3503,2.2118,2.0388,1.8585,1.6359,1.4534,1.3638,1.3214,1.2977,1.2826,1.2719,1.2639,1.2575,1.2522,3
1,717,0.36,0.25,6659,6802,0.07,1,0.080146,0.072938,0.070609,0.063401,2.81102,2.9517,2.9294,2.9019,2.8675,2.8229,2.7632,2.6796,2.5564,2.3683,2.1124,1.865,1.6547,1.5319,1.4701,1.4343,1.4095,1.3905,1.3751,1.3621,1.351,1.3413,3
1,474.17,0.36,0.25,6659,6802,0.07,1,0.043486,0.048817,0.040409,0.04574,3.70142,2.705,2.686,2.6628,2.6338,2.5965,2.5468,2.4777,2.376,2.2206,2.0082,1.8148,1.6288,1.4802,1.3974,1.3525,1.3245,1.3049,1.29,1.2781,1.2683,1.2601,3
1,474.17,0.36,0.25,6659,6802,0.07,1,0.099739,0.079737,0.072225,0.052223,2.63717,2.8268,2.8044,2.7771,2.743,2.6994,2.6418,2.5628,2.4496,2.2843,2.0682,1.8567,1.6811,1.5711,1.5008,1.4481,1.4062,1.3734,1.3478,1.3279,1.3121,1.2995,3
1.5,558,0.73,0.73,4140,4140,0.064,1,0.027084,0.02792,0.02782,0.028656,1.67377,2.8098,2.7868,2.7586,2.7234,2.6781,2.618,2.5345,2.4121,2.2253,1.989,1.8495,1.7885,1.7512,1.7221,1.6978,1.6769,1.659,1.6436,1.6305,1.6193,1.6096,1
1.5,558,0.73,0.73,4140,4140,0.064,1,0.033525,0.032358,0.03419,0.033024,1.51114,2.8603,2.8367,2.8077,2.7715,2.7249,2.663,2.5768,2.4498,2.2541,2.0121,1.8834,1.8275,1.792,1.764,1.7409,1.7215,1.7051,1.6912,1.6794,1.6693,1.6606,2
1.5,558,0.73,0.73,4140,4140,0.064,1,0.037997,0.036169,0.040578,0.038749,1.44916,2.9129,2.8889,2.8594,2.8223,2.7745,2.7107,2.6212,2.4881,2.2819,2.0334,1.9021,1.8461,1.8115,1.7846,1.7624,1.7434,1.727,1.7126,1.6998,1.6885,1.6784,2
